beam_index,beamcode,range_index,x_km,y_km,z_km,altitude_km,dz_from_h0_km,Ne,log10_Ne,dNe,rel_dNe,x_norm,y_norm,log10_Ne_norm
0,57272.0,10,15.345547955560441,480.2929687587087,316.2551391605394,334.3653153514695,4.365315351469519,150698974662.46393,11.178110297437732,22862205177.79964,0.15170776860961718,-0.6073171474210782,1.0,0.824997548916717
1,57296.0,9,83.46722160848928,422.7017545191982,309.15110717635565,323.81835519884703,-6.18164480115297,84120099777.31172,10.924899779143981,1907608055.4974651,0.022677196776363925,-0.2977371227245047,0.7446981898440261,0.38799748529021594
2,57320.0,9,150.78400820355355,392.8057709017778,315.3357005245849,329.3001492492965,-0.6998507507034901,108147206782.87746,11.034015306997961,11547923128.914942,0.10677967071400388,0.00818507999134055,0.6121693165652182,0.5763130929361464
3,57344.0,9,216.70326660326336,360.6548003661455,315.3357005245849,329.2471326695218,-0.7528673304781819,190331993368.6036,11.279511796041055,16630813486.560894,0.08737791893112304,0.3077561936920177,0.46964408794472035,1.0
4,57368.0,9,281.70597533274076,326.0142540111987,309.15110717635565,323.65881518329866,-6.341184816701343,13202426472.451918,10.12065375747488,4470381477.01165,0.3386030201599315,0.6031620329017624,0.3160825715573381,-1.0
5,57392.0,10,369.0283615695588,307.79033454349616,316.2551391605394,334.08104282991854,4.081042829918545,73646764590.55345,10.867153672409698,5829559634.239121,0.07915567868662175,1.0,0.23529595002697934,0.28833712170378156
6,58406.0,9,-1.1891463903743844,400.7815850373159,326.2889449718215,339.02648838373307,9.026488383733067,87712452177.4591,10.943061252751109,13406739255.772457,0.1528487566240658,-0.6824593277210586,0.6475260947328423,0.4193412271511232
7,58430.0,8,60.4397338945437,347.7372442563318,313.1439884683835,323.1370717797063,-6.862928220293725,130287301569.33728,11.114902089334155,14613642825.929308,0.1121647516673151,-0.40238590530585894,0.4123805712577553,0.7159104890697967
8,58454.0,8,120.23385738994816,320.8969291375211,317.7717706004178,327.1826770630743,-2.8173229369256774,147993902020.5289,11.170243820980124,18604835561.950363,0.12571352811124342,-0.13065056417597465,0.2933974741747276,0.8114212933343843
9,58478.0,8,178.84687693495056,292.30944939117563,317.7717706004178,327.13562348596645,-2.8643765140335518,65400411925.099464,10.815580483740693,7032621346.745017,0.10753175920052618,0.13571723134724123,0.1666691975892316,0.19933020808248014
