h0_km,half_width_km,n_points,n_beams,beam_fraction,area_km2,dz_rms_km,dz_max_abs_km,median_rel_dNe,log10_Ne_std,area_norm,uncertainty_penalty,dz_penalty,score
410.0,15.0,41,41,0.9761904761904762,172908.5631000947,8.798086688237984,14.445861302466824,0.11248158035998991,0.38464726376849306,0.8801750139182871,0.11248158035998991,0.5865391125491989,5.355376258236078
420.0,15.0,40,40,0.9523809523809523,174166.3768049088,8.581731032194782,13.693773159390446,0.10649253240083849,0.2800165113827618,0.8865777979984514,0.10649253240083849,0.5721154021463187,5.255932326429216
375.0,15.0,41,41,0.9761904761904762,140834.4250877522,7.724937367973437,13.339679418302751,0.11238870662285283,0.3304185128770104,0.7169045872530206,0.11238870662285283,0.5149958245315625,5.2279703493167675
330.0,15.0,42,42,1.0,110919.02085167896,7.397111365489468,12.280229575692601,0.10627702444463813,0.3135280228801205,0.5646229947872132,0.10627702444463813,0.4931407576992978,5.211775591492927
345.0,15.0,42,42,1.0,114520.21326488376,8.396818240524611,14.547827650399654,0.10422504761998785,0.293330739610195,0.5829545309794381,0.10422504761998785,0.5597878827016408,5.19883554200863
325.0,15.0,42,42,1.0,110919.02085167896,8.387626336389195,14.813032566682125,0.10313264696359573,0.3042782586418972,0.5646229947872132,0.10313264696359573,0.5591750890926129,5.181902803277311
365.0,15.0,41,41,0.9761904761904762,133091.42054976092,8.458461538158321,14.998703110049462,0.10940555658793508,0.32378091238263645,0.6774895403357052,0.10940555658793508,0.5638974358772214,5.16708764676154
310.0,15.0,42,42,1.0,98148.33908007805,8.438657038338551,13.376565999674767,0.09964157343252553,0.30175852343368825,0.49961502291737653,0.09964157343252553,0.5625771358892367,5.118684881540233
370.0,15.0,40,40,0.9523809523809523,140006.5740781122,7.610803754531673,14.812292935348069,0.1151153278388211,0.3322488021373891,0.7126904884202732,0.1151153278388211,0.5073869169687782,5.105786464001825
300.0,15.0,42,42,1.0,86789.75500392697,7.275469866841231,12.69614826689019,0.10094865233941316,0.2695833265174496,0.4417952034817662,0.10094865233941316,0.48503132445608205,5.098330888914312
340.0,15.0,41,41,0.9761904761904762,113478.85804114751,8.077981905591216,14.990191421488248,0.10677967071400388,0.2956189852056658,0.5776536087341047,0.10677967071400388,0.5385321270394143,5.0825602554527745
295.0,15.0,42,42,1.0,86789.75500392697,7.916189418470495,14.053782705723165,0.10094865233941316,0.2679748454056284,0.4417952034817662,0.10094865233941316,0.5277459612313663,5.07697357052667
385.0,15.0,40,40,0.9523809523809523,144424.81563038848,9.251278581991501,14.135982795807422,0.11694209407547276,0.4177331536063647,0.7351811375243197,0.11694209407547276,0.6167519054661,5.071767852620559
405.0,15.0,39,39,0.9285714285714286,151537.6132925255,7.618602696349942,13.93423834463215,0.10790592389206106,0.39255513970864,0.7713881747526915,0.10790592389206106,0.5079068464233295,5.0523859705061085
