beam_index,beamcode,range_index,x_km,y_km,z_km,altitude_km,dz_from_h0_km,Ne,log10_Ne,dNe,rel_dNe,x_norm,y_norm,log10_Ne_norm
0,57272.0,14,19.18415400775019,600.4356643496676,395.36465644420696,422.9956021123834,12.99560211238338,70887685252.79079,10.85057079524958,18946623979.18632,0.267276663240184,-0.6182767968447321,1.0,0.6541320487859887
1,57296.0,13,106.11660369568985,537.4046685797955,393.04130280263735,416.11699637877985,6.116996378779845,116211619768.93797,11.065249554467673,12276327026.102598,0.10563768967777454,-0.30010585264729106,0.7770964241464864,0.8656524651075639
2,57320.0,12,181.73362580058242,473.4322812602526,380.0608624446214,399.9212668120861,-10.078733187913883,20774235388.104034,10.317525048204013,2656332997.615345,0.12786670353877105,-0.023349136290197192,0.550863699829794,0.12892844343544962
3,57344.0,12,261.1833365609735,434.68206817027806,380.0608624446214,399.8579036648406,-10.142096335159408,159075433701.0834,11.201603115964403,8218021877.700467,0.051661162798668496,0.26743514023242976,0.4138269775419703,1.0
4,57368.0,13,358.1487530914987,414.4803759531598,393.04130280263735,415.9163970697115,5.916397069711479,44770324564.64966,10.650990242833869,6057990158.93665,0.13531262544654407,0.62232653283396,0.3423854688288852,0.45748771522258247
5,57392.0,14,461.33881579724823,384.7824266086128,395.36465644420696,422.6440322326706,12.644032232670611,32829051313.675274,10.516258332769276,5318104548.816081,0.16199385410204561,1.0,0.23736128154513936,0.3247379741095744
6,58406.0,12,-1.4374758589140317,484.4768128229041,394.42787298866926,412.61699037671553,2.6169903767155347,112906288982.69508,11.052718133195231,16291564452.730581,0.1442927989177605,-0.6937515300326197,0.5899217148408586,0.8533054054622491
7,58430.0,11,74.26427299054758,427.2760975667415,384.7702355133026,399.4617372224741,-10.538262777525915,139802805883.16727,11.145515887914296,2756170846.7480173,0.019714703359039444,-0.4166847155658433,0.3876364135181767,0.9447379243727165
9,58478.0,11,220.14861919640944,359.81350507415186,391.15593023592265,404.97776690095685,-5.022233099043149,119616697865.86234,11.077791809124165,9838654726.607811,0.08225151590157452,0.117248934556349,0.14906088541055285,0.8780101987567372
10,58502.0,11,290.9765077683593,321.5784783246668,384.7702355133026,399.289307528362,-10.710692471638026,61032627615.71551,10.785562067882868,3162603980.3231115,0.051818250399377555,0.37647752253866607,0.013846074328848434,0.5900797264825364
11,58526.0,12,382.6579368856035,297.1409629087476,394.42787298866926,412.31193096421873,2.311930964218732,18365183548.665405,10.263995273208087,7440838978.894179,0.40516006601169546,0.7120296319329928,-0.07257505078032256,0.07618619574416385
12,59495.0,11,-19.985707636940727,404.29870487473795,402.3973931549208,415.23613472360887,5.2361347236088704,88440814277.50768,10.94665273248877,11317370097.105291,0.127965466957302,-0.7616376696639346,0.306378884071274,0.7488004334917646
13,59519.0,10,50.46612684592524,355.03769155762717,390.66528517340504,400.85306851581845,-9.14693148418155,65161481374.086586,10.813990948952593,12235897123.957935,0.1877780686677867,-0.5037854317674902,0.13217164072323162,0.6180903633118462
14,59543.0,10,117.93043463864754,325.4242623648883,395.80330577094475,405.28916473701224,-4.710835262987757,94598572829.24527,10.975884584424426,16126774578.181227,0.1704758760715216,-0.25686747895366135,0.02744635152668251,0.7776022279208026
