run,region,density_rmse,density_mae,density_bias,density_p95_abs,density_max_abs,dx_gradient_rmse,dy_gradient_rmse,dt_gradient_rmse,combined_gradient_magnitude_rmse,gradient_p95_abs
data_only,full_domain,26799287731.961914,6644155976.64415,947445640.7560929,34328331412.29186,309126695875.5752,0.0020876279288063668,0.003095192709128033,0.00011674439074424583,0.0037547706022259997,0.0085933863511123
data_only,high_gradient,38653758117.4506,14537846484.450806,6438727169.896797,60204361123.52518,267333797327.25574,0.002884791899295667,0.004414468594303033,0.00016406018165346665,0.0054136232934001,0.0111749122905058
data_only,interior,17965309332.4398,5835927881.957389,-2955495209.2800756,32876292713.404724,148307336923.76883,0.0013793700852786333,0.0032977883990269667,0.0001243419555043252,0.0035770195329589,0.008542447906412967
data_only,near_observation,24277438017.12726,6247907955.766505,275726163.94669837,32907338681.07637,284300170701.50336,0.001953148993221,0.0031077281328862334,0.00011479306803060564,0.0036871773657481334,0.008533068969368666
xy030_t030,full_domain,26305427032.784943,6234935536.315674,1736838673.3512409,33555656714.314148,311431915735.1602,0.0018320491715112,0.0025872071917208664,0.00010135300207679618,0.0032014881954299996,0.007427755145736
xy030_t030,high_gradient,42998372625.62498,15190136883.095726,7349396851.375824,66548248324.03247,309829725455.7879,0.0027598291687080667,0.0033337828101008666,0.00011736800858333334,0.004484343359180733,0.009091836769199434
xy030_t030,interior,12625888439.632624,4405435718.727151,-2491151224.1348233,30038671212.762466,89451025956.71068,0.0010849932455286667,0.0025917265979917667,9.577169852231489e-05,0.0028129019642207666,0.0066751706502073335
xy030_t030,near_observation,22980972145.65541,5685176893.908565,973828080.2032027,32056372689.40655,277598137170.1148,0.001701481568228,0.0026128597405527,9.749152319876699e-05,0.0031427667832815997,0.0073255031240206
xy070_t030,full_domain,27555279357.293976,6503270252.052551,2042185374.1088274,35264235004.40473,330892940138.0969,0.0020040825962709665,0.0029614708261356,0.00011708718209516668,0.0035943143668610337,0.0082170250044632
xy070_t030,high_gradient,45063178624.29417,15838480116.604578,7305212411.915507,68423666531.21548,328213655832.5927,0.003081165455046967,0.0032816258611196004,0.00012770179478053333,0.0046040086630823,0.009003151686526767
xy070_t030,interior,12663867473.091988,4544532860.705743,-2258218307.2624846,31666139088.1057,81125285396.61482,0.0012103113781688,0.002633116023632367,0.00010255750003427936,0.0029031295014231664,0.006702003880221033
xy070_t030,near_observation,23937555087.339466,5908000636.51651,1239564221.314833,33576630804.23733,292603545687.81464,0.0018744428671189667,0.0029842778359585333,0.00011132716149576667,0.0035370446195166333,0.008124760204703733
xy070_t070,full_domain,29085281665.873962,6800335348.160682,2832507103.6374974,36332699506.81879,346937103869.5252,0.0021015566760310333,0.0029919849911353665,0.0001245195480992,0.0036667033362491664,0.008213775163174567
xy070_t070,high_gradient,46436959160.640686,16215484142.544748,8428726406.945854,71708453267.57317,337636923625.7578,0.0031951359572396335,0.0033131128689771997,0.00013498761034793334,0.0046834223036021005,0.009012823024995299
xy070_t070,interior,13180260744.330553,4785362020.543228,-1263609506.1197658,33096906315.540874,82827528869.24504,0.0013274131004849669,0.002677021703927233,0.00011570985035013334,0.002997661357773133,0.006692283328025333
xy070_t070,near_observation,25373295215.204624,6196256208.773845,2047149813.6740236,34697335796.10061,307511769341.4979,0.0019772371590503334,0.003014839800278267,0.000119542983095,0.0036119338804766333,0.008124067428247533
